年齢,全年齢,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳
恋人持ち,0.269,0.317,0.317,0.249,0.249,0.192,0.192
フリー（交際経験あり）,0.394,0.288,0.288,0.443,0.443,0.554,0.554
フリー（交際経験なし）,0.338,0.395,0.395,0.308,0.308,0.254,0.254
