年齢階級,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
やせ型,0.21,0.207,0.207,0.164,0.164,0.129,0.129,0.106,0.106,0.094,0.094,0.097
普通,0.765,0.704,0.704,0.687,0.687,0.705,0.705,0.687,0.687,0.625,0.625,0.639
ぽっちゃり,0.025,0.089,0.089,0.15,0.15,0.166,0.166,0.207,0.207,0.281,0.281,0.264
