INTJ(建築家),0.037
INTP(論理学者),0.072
ENTJ(指揮官),0.026
ENTP(討論者),0.052
INFJ(提唱者),0.068
INFP(仲介者),0.164
ENFJ(主人公),0.056
ENFP(運動家),0.138
ISTJ(管理者),0.036
ISFJ(擁護者),0.068
ESTJ(幹部),0.034
ESFJ(領事官),0.068
ISTP(巨匠),0.029
ISFP(冒険家),0.067
ESTP(起業家),0.026
ESFP(エンターテイナー),0.060
